claim_id,state,district,village,claim_type,claimed_area,recorded_area,processing_days,current_stage,documents_complete,land_record_available,overlap_percentage,previous_rejections,latitude,longitude,status
FRA0024,Jharkhand,Gumla,Village_42,IFR,9.97,10.31,134,Title Issued,1,0,56.33,3,23.098549,84.675459,Pending
FRA0025,Odisha,Mayurbhanj,Village_63,IFR,1.58,1.64,95,DLC,0,1,49.13,0,21.978158,86.715845,Rejected
FRA0026,Jharkhand,Ranchi,Village_11,CFR,3.21,3.06,50,DLC,0,0,78.83,1,23.439406,85.190476,Pending
FRA0027,Chhattisgarh,Bastar,Village_67,IFR,7.39,7.44,26,SDLC,0,0,55.38,1,19.009296,81.925932,Approved
FRA0028,Chhattisgarh,Bastar,Village_46,CFR,5.42,4.92,69,Title Issued,1,1,16.95,1,19.073652,82.00256,Pending
FRA0029,Jharkhand,Gumla,Village_77,CR,4.45,3.87,137,Title Issued,1,1,19.86,0,22.919585,84.673443,Pending
FRA0030,Chhattisgarh,Surguja,Village_69,CFR,3.98,3.87,178,Gram Sabha,0,0,76.16,0,22.859044,83.25488,Rejected
FRA0031,Chhattisgarh,Bastar,Village_77,CR,4.17,3.99,88,DLC,0,0,37.67,3,19.200257,81.801453,Approved
FRA0032,Jharkhand,Ranchi,Village_89,IFR,4.42,3.91,180,Gram Sabha,0,0,29.05,2,23.380266,85.184578,Rejected
FRA0033,Madhya Pradesh,Mandla,Village_48,CFR,7.59,7.26,120,Gram Sabha,0,0,34.03,1,22.734347,80.43462,Pending
FRA0034,Chhattisgarh,Kanker,Village_61,IFR,2.05,2.12,75,DLC,1,0,83.96,1,20.315695,81.537684,Rejected
FRA0035,Odisha,Keonjhar,Village_71,CR,9.73,9.57,41,Title Issued,0,0,74.93,3,21.699419,85.602402,Pending
FRA0036,Madhya Pradesh,Dindori,Village_51,IFR,8.79,7.6,104,DLC,1,0,30.81,0,23.05238,81.035468,Pending
FRA0037,Chhattisgarh,Bastar,Village_79,IFR,1.77,1.81,94,SDLC,1,0,32.38,0,19.068978,81.832429,Approved
FRA0038,Maharashtra,Nandurbar,Village_12,CR,8.18,6.96,38,DLC,0,1,18.95,3,21.334742,74.380344,Rejected
FRA0039,Maharashtra,Nandurbar,Village_67,IFR,2.29,2.24,120,Title Issued,0,0,74.02,1,21.300201,74.117878,Pending
FRA0040,Jharkhand,Ranchi,Village_18,CR,2.24,2.09,137,Title Issued,0,0,39.2,3,23.409988,85.386357,Pending
FRA0041,Madhya Pradesh,Balaghat,Village_88,CR,4.39,4.01,175,SDLC,0,1,48.85,0,21.741962,80.321943,Approved
FRA0042,Maharashtra,Nashik,Village_70,CR,4.76,4.74,31,SDLC,1,1,75.92,1,20.142807,73.875752,Approved
FRA0043,Madhya Pradesh,Balaghat,Village_70,CR,6.02,5.48,88,DLC,1,0,83.64,0,21.817203,80.130007,Pending
FRA0044,Odisha,Mayurbhanj,Village_36,IFR,3.19,2.74,149,Title Issued,1,0,61.98,1,21.809729,86.804901,Rejected
FRA0045,Maharashtra,Nashik,Village_56,CR,7.66,7.57,170,SDLC,0,1,44.18,0,20.144841,73.787286,Pending
FRA0046,Odisha,Mayurbhanj,Village_13,CR,7.09,6.58,54,Gram Sabha,0,1,2.97,1,21.936965,86.780928,Rejected
FRA0047,Madhya Pradesh,Balaghat,Village_88,CR,4.28,4.1,250,Gram Sabha,1,1,18.92,0,21.875645,80.031025,Approved
FRA0048,Chhattisgarh,Surguja,Village_43,CFR,9.58,9.48,139,SDLC,0,0,30.74,1,22.972849,83.295727,Pending
FRA0049,Jharkhand,Ranchi,Village_20,IFR,4.5,4.32,93,SDLC,1,0,50.78,1,23.192903,85.351625,Pending
FRA0050,Madhya Pradesh,Dindori,Village_66,CR,3.65,3.2,129,SDLC,0,0,31.0,1,22.953097,80.964801,Rejected
FRA0051,Maharashtra,Nandurbar,Village_38,CR,9.97,9.88,34,Title Issued,0,0,31.72,1,21.329704,74.335934,Approved
FRA0052,Maharashtra,Nandurbar,Village_98,IFR,7.52,7.64,53,Gram Sabha,0,1,12.99,2,21.430108,74.335441,Approved
FRA0053,Chhattisgarh,Kanker,Village_64,CR,6.14,5.3,59,DLC,1,1,36.18,1,20.213577,81.438606,Rejected
FRA0054,Odisha,Keonjhar,Village_72,CR,5.73,5.98,31,Title Issued,1,0,34.19,2,21.490289,85.723276,Pending
FRA0055,Madhya Pradesh,Dindori,Village_1,IFR,9.08,7.98,96,Title Issued,1,1,65.44,2,22.927243,81.150771,Pending
FRA0056,Chhattisgarh,Surguja,Village_49,IFR,4.35,3.82,90,Title Issued,1,0,26.39,1,22.954358,83.217099,Rejected
FRA0057,Jharkhand,Simdega,Village_35,CFR,1.65,1.63,56,SDLC,1,0,5.52,1,22.552872,84.501867,Approved
FRA0058,Chhattisgarh,Surguja,Village_22,IFR,7.47,6.75,33,DLC,1,0,27.42,1,22.772801,83.170274,Approved
FRA0059,Madhya Pradesh,Dindori,Village_43,CFR,5.33,4.84,65,Gram Sabha,1,1,68.96,1,22.951283,81.02297,Rejected
FRA0060,Odisha,Mayurbhanj,Village_43,CFR,9.51,9.02,139,Title Issued,1,1,5.22,0,21.878517,86.796293,Approved
FRA0061,Madhya Pradesh,Mandla,Village_38,IFR,6.44,5.68,129,SDLC,1,1,40.02,3,22.630255,80.42571,Approved
FRA0062,Madhya Pradesh,Balaghat,Village_21,CR,5.86,5.01,75,SDLC,1,0,84.95,2,21.859926,80.04542,Pending
FRA0063,Jharkhand,Simdega,Village_22,CR,5.57,5.43,60,DLC,0,1,39.27,1,22.639253,84.404945,Approved
FRA0064,Maharashtra,Nashik,Village_31,CR,7.46,6.83,76,Gram Sabha,1,1,80.8,2,20.057011,73.756632,Pending
FRA0065,Maharashtra,Gadchiroli,Village_14,CR,5.28,5.45,161,Gram Sabha,0,1,17.04,0,20.290196,79.963152,Rejected
FRA0066,Madhya Pradesh,Mandla,Village_23,CFR,3.03,3.05,28,Title Issued,0,1,60.27,1,22.66853,80.361806,Pending
FRA0067,Madhya Pradesh,Balaghat,Village_35,CFR,7.86,7.31,73,DLC,0,1,10.69,2,21.720896,80.128057,Approved
FRA0068,Jharkhand,Gumla,Village_49,IFR,8.03,7.04,107,Gram Sabha,0,0,29.36,1,22.900588,84.615041,Pending
FRA0069,Odisha,Keonjhar,Village_3,IFR,5.32,5.58,56,Gram Sabha,0,0,35.09,3,21.67076,85.673985,Approved
FRA0070,Chhattisgarh,Surguja,Village_32,IFR,8.29,8.08,139,DLC,0,0,38.15,1,22.812037,83.165256,Rejected
FRA0071,Odisha,Keonjhar,Village_69,CR,3.03,2.68,135,SDLC,0,1,83.96,2,21.767446,85.496336,Pending
FRA0072,Madhya Pradesh,Dindori,Village_79,CR,2.96,2.86,85,Gram Sabha,1,1,29.14,1,22.828266,81.096268,Approved
FRA0073,Jharkhand,Simdega,Village_68,IFR,2.62,2.5,84,SDLC,1,0,1.16,3,22.664207,84.55158,Approved
FRA0074,Odisha,Mayurbhanj,Village_70,CR,8.5,8.52,100,SDLC,1,0,68.44,2,22.076817,86.601819,Rejected
FRA0075,Jharkhand,Simdega,Village_24,CFR,5.07,4.4,95,Title Issued,0,0,59.1,0,22.616832,84.625708,Approved
FRA0076,Odisha,Koraput,Village_21,CR,3.29,2.92,160,SDLC,0,1,6.69,1,18.755394,82.62495,Approved
FRA0077,Chhattisgarh,Surguja,Village_91,CR,2.19,1.86,142,Title Issued,1,1,62.15,2,22.821679,83.301094,Pending
FRA0078,Odisha,Koraput,Village_46,CR,8.58,8.48,122,Title Issued,1,0,10.96,0,18.791293,82.660563,Rejected
FRA0079,Jharkhand,Gumla,Village_90,CFR,2.14,2.01,40,DLC,1,1,62.51,2,22.90074,84.61766,Pending
FRA0080,Madhya Pradesh,Balaghat,Village_56,CR,7.34,6.64,87,Gram Sabha,0,0,52.29,1,21.880793,80.242154,Pending
FRA0081,Odisha,Koraput,Village_42,IFR,1.92,1.81,107,Gram Sabha,0,0,79.28,1,18.665951,82.784849,Approved
FRA0082,Odisha,Keonjhar,Village_88,IFR,8.47,7.74,61,Title Issued,0,1,72.6,0,21.566142,85.689772,Approved
FRA0083,Madhya Pradesh,Dindori,Village_76,CFR,5.94,5.21,60,Gram Sabha,0,1,33.26,1,22.805473,81.220364,Rejected
FRA0084,Maharashtra,Nandurbar,Village_37,CFR,3.39,2.94,96,DLC,0,0,74.1,0,21.253324,74.256048,Pending
FRA0085,Madhya Pradesh,Balaghat,Village_4,CR,2.75,2.63,22,Gram Sabha,0,1,40.09,0,21.843598,80.153259,Pending
FRA0086,Maharashtra,Nashik,Village_10,CR,1.73,1.76,36,DLC,0,0,50.88,1,20.087407,73.695109,Approved
FRA0087,Madhya Pradesh,Balaghat,Village_86,CFR,1.69,1.58,152,DLC,0,1,27.17,1,21.75515,80.280706,Approved
FRA0088,Chhattisgarh,Surguja,Village_61,CR,6.76,5.89,44,Gram Sabha,0,1,40.15,1,22.855775,83.293018,Pending
FRA0089,Maharashtra,Nashik,Village_50,IFR,6.64,6.72,59,Title Issued,1,0,62.09,2,19.861051,73.844702,Rejected
FRA0090,Madhya Pradesh,Balaghat,Village_52,CR,5.74,5.57,160,SDLC,1,0,9.27,0,21.711272,80.055918,Rejected
FRA0091,Odisha,Keonjhar,Village_2,CFR,2.33,2.01,106,Title Issued,1,0,24.56,0,21.714752,85.440293,Approved
FRA0092,Chhattisgarh,Bastar,Village_88,CFR,5.32,5.33,90,DLC,0,1,83.18,3,19.117264,81.926669,Approved
FRA0093,Madhya Pradesh,Mandla,Village_85,CR,7.05,6.48,144,SDLC,0,0,14.97,3,22.726245,80.328595,Pending
FRA0094,Jharkhand,Ranchi,Village_22,IFR,2.58,2.24,96,DLC,0,0,79.81,2,23.481296,85.373391,Pending
FRA0095,Chhattisgarh,Surguja,Village_60,IFR,8.8,8.16,156,Gram Sabha,0,0,38.82,2,22.838431,83.163528,Approved
FRA0096,Madhya Pradesh,Mandla,Village_82,CFR,9.9,9.38,169,SDLC,0,1,17.13,3,22.710673,80.320372,Pending
FRA0097,Chhattisgarh,Kanker,Village_48,CR,6.71,5.84,107,DLC,1,1,60.5,1,20.327643,81.416314,Pending
FRA0098,Odisha,Keonjhar,Village_97,CR,7.13,6.29,44,DLC,0,0,20.45,2,21.699195,85.706593,Pending
FRA0099,Maharashtra,Nashik,Village_89,CR,8.39,8.02,101,DLC,1,0,74.63,0,20.111773,73.879655,Pending
FRA0100,Maharashtra,Nashik,Village_4,CR,5.15,4.45,84,SDLC,1,1,55.47,1,19.986632,73.828868,Rejected
FRA0101,Jharkhand,Gumla,Village_90,CFR,6.04,5.85,109,Gram Sabha,0,0,8.06,2,22.963439,84.637679,Approved
FRA0102,Madhya Pradesh,Balaghat,Village_20,CFR,1.21,1.13,111,DLC,1,0,84.33,2,21.911574,80.302843,Pending
FRA0103,Odisha,Keonjhar,Village_88,CFR,3.99,4.08,70,Title Issued,0,1,6.57,2,21.769469,85.483164,Pending
FRA0104,Odisha,Keonjhar,Village_43,CFR,4.58,4.25,71,Title Issued,0,1,61.6,2,21.673744,85.489342,Pending
FRA0105,Chhattisgarh,Surguja,Village_16,CR,2.36,2.17,32,SDLC,1,0,67.23,0,22.757599,83.29077,Approved
FRA0106,Jharkhand,Ranchi,Village_46,IFR,3.89,4.05,124,DLC,0,1,12.93,1,23.326268,85.182466,Pending
FRA0107,Jharkhand,Gumla,Village_43,CR,7.93,7.83,95,SDLC,1,1,30.21,3,23.173388,84.636882,Pending
FRA0108,Madhya Pradesh,Dindori,Village_37,IFR,8.05,8.19,145,SDLC,1,0,34.07,2,22.80729,80.982358,Rejected
FRA0109,Odisha,Koraput,Village_66,IFR,7.22,7.26,107,DLC,1,1,46.37,2,18.71123,82.802646,Approved
FRA0110,Chhattisgarh,Surguja,Village_39,CFR,4.63,4.4,97,DLC,0,0,15.48,2,22.96736,83.235484,Pending
FRA0111,Jharkhand,Gumla,Village_45,IFR,9.22,8.2,124,SDLC,0,0,82.02,1,23.162286,84.483547,Approved
FRA0112,Madhya Pradesh,Mandla,Village_8,CR,4.46,3.9,49,Title Issued,1,0,82.94,1,22.714034,80.486755,Approved
FRA0113,Odisha,Mayurbhanj,Village_34,CR,2.13,1.87,40,Title Issued,0,1,82.65,2,21.877404,86.866969,Pending
FRA0114,Odisha,Mayurbhanj,Village_58,IFR,7.94,6.76,150,Gram Sabha,1,0,88.08,2,21.794857,86.688234,Rejected
FRA0115,Chhattisgarh,Bastar,Village_7,CFR,8.99,8.1,168,SDLC,1,0,44.13,0,19.146494,82.081279,Rejected
FRA0116,Jharkhand,Simdega,Village_4,CR,4.45,4.01,22,Gram Sabha,0,1,62.47,1,22.652759,84.443165,Rejected
FRA0117,Maharashtra,Gadchiroli,Village_41,CFR,9.5,9.37,54,Title Issued,1,1,34.23,3,20.133361,80.04525,Approved
FRA0118,Chhattisgarh,Surguja,Village_69,IFR,5.43,4.92,154,Gram Sabha,1,0,39.2,1,22.891882,83.211111,Pending
FRA0119,Maharashtra,Nandurbar,Village_14,IFR,2.75,2.75,157,SDLC,0,0,87.65,0,21.471335,74.271939,Pending
FRA0120,Odisha,Keonjhar,Village_92,CR,8.93,9.19,41,Gram Sabha,1,0,63.05,3,21.503128,85.488968,Approved
FRA0121,Madhya Pradesh,Balaghat,Village_45,CR,5.24,4.46,82,DLC,0,1,20.51,2,21.693692,80.092187,Pending
FRA0122,Jharkhand,Simdega,Village_33,CFR,5.7,5.01,155,Gram Sabha,0,0,83.12,3,22.491123,84.601475,Rejected
FRA0123,Odisha,Keonjhar,Village_92,CFR,4.88,4.24,52,Title Issued,1,0,23.46,3,21.567495,85.72663,Rejected
FRA0124,Madhya Pradesh,Balaghat,Village_21,IFR,3.21,2.98,171,Gram Sabha,0,1,20.31,0,21.762564,80.164914,Rejected
FRA0125,Chhattisgarh,Surguja,Village_91,IFR,7.82,6.91,64,DLC,1,0,79.53,1,22.898822,83.057992,Approved
FRA0126,Jharkhand,Simdega,Village_32,CFR,9.31,8.94,132,DLC,0,0,81.62,3,22.607757,84.409881,Rejected
FRA0127,Madhya Pradesh,Mandla,Village_42,CFR,7.08,6.74,37,Title Issued,0,1,4.58,3,22.725234,80.264005,Pending
FRA0128,Odisha,Keonjhar,Village_57,CFR,8.18,7.61,31,DLC,1,1,55.28,2,21.574114,85.663122,Approved
FRA0129,Maharashtra,Nashik,Village_91,CFR,2.79,2.39,67,SDLC,1,0,43.5,3,20.144619,73.674647,Pending
FRA0130,Chhattisgarh,Bastar,Village_43,CR,7.63,7.48,51,Title Issued,0,0,56.88,1,18.998689,82.021759,Approved
FRA0131,Madhya Pradesh,Dindori,Village_10,CR,6.31,5.64,82,DLC,1,1,7.09,3,23.015578,80.999107,Pending
FRA0132,Chhattisgarh,Surguja,Village_48,IFR,5.66,5.91,144,Title Issued,1,1,17.51,0,22.852914,83.178829,Pending
FRA0133,Chhattisgarh,Surguja,Village_45,CFR,5.07,5.12,108,Title Issued,0,1,89.89,1,22.887229,83.074002,Pending
FRA0134,Chhattisgarh,Bastar,Village_50,CFR,5.56,5.14,40,SDLC,0,1,1.42,0,19.248104,82.00711,Pending
FRA0135,Maharashtra,Nandurbar,Village_17,CFR,7.28,6.73,140,DLC,0,1,26.41,3,21.280736,74.265506,Pending
FRA0136,Odisha,Koraput,Village_3,IFR,4.15,3.91,104,DLC,1,0,57.97,3,18.733913,82.778172,Rejected
FRA0137,Odisha,Mayurbhanj,Village_10,IFR,3.7,3.46,108,Title Issued,1,1,30.68,2,21.893586,86.721907,Pending
FRA0138,Chhattisgarh,Surguja,Village_67,CR,2.17,2.12,164,Title Issued,1,1,7.75,3,23.036234,83.270814,Approved
FRA0139,Odisha,Keonjhar,Village_59,CR,9.46,9.24,67,Title Issued,0,1,38.24,2,21.550781,85.676554,Rejected
FRA0140,Odisha,Mayurbhanj,Village_25,IFR,2.09,1.83,70,SDLC,1,0,41.39,0,21.879854,86.770083,Rejected
FRA0141,Chhattisgarh,Surguja,Village_87,IFR,1.75,1.64,126,SDLC,0,1,57.23,3,22.997446,83.081737,Approved
FRA0142,Madhya Pradesh,Dindori,Village_34,IFR,6.44,5.87,174,Gram Sabha,1,0,43.6,2,22.971427,81.165596,Pending
FRA0143,Jharkhand,Gumla,Village_11,IFR,3.69,3.29,114,DLC,0,0,9.66,2,23.18105,84.606669,Rejected
FRA0144,Chhattisgarh,Bastar,Village_86,CFR,5.27,5.39,81,DLC,0,0,25.23,3,18.971083,82.089162,Approved
FRA0145,Jharkhand,Ranchi,Village_6,IFR,9.32,8.64,146,DLC,1,1,28.61,0,23.205226,85.359927,Approved
FRA0146,Odisha,Keonjhar,Village_73,CFR,7.52,6.92,87,Gram Sabha,0,0,27.53,3,21.770874,85.56189,Rejected
FRA0147,Maharashtra,Gadchiroli,Village_35,CR,10.0,4.0,36,Gram Sabha,1,1,69.85,2,20.150511,80.001551,Pending
FRA0148,Madhya Pradesh,Dindori,Village_99,IFR,7.09,7.33,143,Title Issued,0,0,33.19,0,22.860492,81.212489,Pending
FRA0149,Chhattisgarh,Kanker,Village_83,IFR,2.75,2.66,30,DLC,1,1,57.19,0,20.203431,81.464179,Rejected
FRA0150,Odisha,Koraput,Village_98,IFR,8.22,7.22,171,SDLC,0,0,73.73,1,18.873504,82.613379,Rejected
FRA0151,Jharkhand,Simdega,Village_8,IFR,3.32,3.12,67,DLC,0,1,81.05,1,22.492154,84.590752,Pending
FRA0152,Madhya Pradesh,Mandla,Village_59,CR,2.53,2.66,112,SDLC,1,0,36.28,2,22.521446,80.475293,Approved
FRA0153,Maharashtra,Gadchiroli,Village_87,CFR,8.21,8.6,170,DLC,0,0,79.8,2,20.194086,80.082316,Rejected
FRA0154,Madhya Pradesh,Mandla,Village_98,CFR,4.1,4.1,49,SDLC,1,1,82.34,3,22.493757,80.371718,Pending
FRA0155,Maharashtra,Nashik,Village_79,CR,2.28,2.34,124,SDLC,1,0,62.32,0,19.904263,73.665934,Approved
FRA0156,Madhya Pradesh,Dindori,Village_79,CFR,4.94,4.53,180,DLC,0,0,1.05,0,22.98562,80.956219,Pending
FRA0157,Maharashtra,Nashik,Village_12,IFR,8.79,8.31,91,SDLC,1,1,14.03,2,20.098822,73.68988,Rejected
FRA0158,Madhya Pradesh,Mandla,Village_17,CR,8.13,7.45,93,Title Issued,0,1,47.56,0,22.621167,80.377365,Approved
FRA0159,Maharashtra,Nashik,Village_77,CFR,7.07,6.1,31,Gram Sabha,1,1,20.93,0,20.090293,73.78906,Rejected
FRA0160,Odisha,Mayurbhanj,Village_61,CR,7.94,7.21,141,Title Issued,1,0,66.59,2,21.945799,86.708286,Pending
FRA0161,Madhya Pradesh,Balaghat,Village_34,IFR,1.36,1.39,148,Title Issued,1,0,37.68,1,21.779928,80.038695,Approved
FRA0162,Madhya Pradesh,Mandla,Village_80,IFR,1.99,1.92,58,Gram Sabha,0,1,43.32,2,22.66879,80.287168,Pending
FRA0163,Maharashtra,Nandurbar,Village_72,CFR,5.76,5.13,80,Gram Sabha,0,0,20.93,1,21.273879,74.297918,Pending
FRA0164,Chhattisgarh,Surguja,Village_94,CR,8.23,7.54,74,SDLC,0,0,79.81,3,22.848295,83.102784,Rejected
FRA0165,Maharashtra,Nandurbar,Village_51,CR,2.15,1.86,160,SDLC,0,0,35.93,1,21.416975,74.199175,Pending
FRA0166,Maharashtra,Nashik,Village_66,CR,8.98,9.34,154,Gram Sabha,1,1,44.34,3,19.935719,73.808395,Rejected
FRA0167,Maharashtra,Gadchiroli,Village_27,IFR,8.75,8.44,77,Gram Sabha,1,0,77.12,2,20.290263,79.877203,Pending
FRA0168,Maharashtra,Nashik,Village_69,CR,1.07,0.97,164,Title Issued,1,1,44.28,0,19.921143,73.719834,Approved
FRA0169,Maharashtra,Nandurbar,Village_44,CFR,1.98,1.78,125,DLC,0,0,72.31,0,21.224752,74.296478,Approved
FRA0170,Chhattisgarh,Bastar,Village_74,IFR,5.01,5.24,66,Title Issued,1,0,86.56,2,19.141684,81.818774,Rejected
FRA0171,Jharkhand,Simdega,Village_23,IFR,3.62,3.71,58,Title Issued,0,0,5.41,1,22.494563,84.623119,Rejected
FRA0172,Chhattisgarh,Surguja,Village_70,CR,9.39,9.44,92,Gram Sabha,0,1,77.19,1,22.866851,83.175392,Pending
FRA0173,Maharashtra,Nandurbar,Village_20,CR,1.72,1.48,44,DLC,0,0,10.41,0,21.226873,74.159935,Rejected
FRA0174,Madhya Pradesh,Dindori,Village_17,CR,7.51,6.39,130,DLC,1,0,6.42,3,22.867132,81.009006,Approved
FRA0175,Madhya Pradesh,Dindori,Village_20,CFR,5.0,4.38,127,SDLC,0,0,7.13,1,23.003127,80.986842,Pending
FRA0176,Odisha,Keonjhar,Village_94,IFR,4.99,4.39,170,Gram Sabha,1,1,22.61,3,21.653649,85.589505,Pending
FRA0177,Maharashtra,Gadchiroli,Village_36,CR,8.02,7.55,69,DLC,1,1,78.13,0,20.290753,79.851649,Rejected
FRA0178,Odisha,Koraput,Village_4,CFR,2.04,2.11,158,Title Issued,1,1,46.4,1,18.78432,82.755805,Pending
FRA0179,Maharashtra,Nandurbar,Village_77,CFR,3.83,3.44,163,Title Issued,0,1,62.81,0,21.371088,74.198738,Rejected
FRA0180,Madhya Pradesh,Dindori,Village_34,IFR,9.12,8.3,94,Title Issued,1,0,18.98,3,23.082888,81.216908,Approved
FRA0181,Madhya Pradesh,Mandla,Village_15,CR,7.89,7.61,131,Gram Sabha,1,0,38.53,0,22.510476,80.341686,Approved
FRA0182,Odisha,Koraput,Village_14,CFR,2.77,2.84,71,SDLC,0,0,48.71,3,18.797184,82.570196,Pending
FRA0183,Maharashtra,Nandurbar,Village_22,IFR,3.31,2.9,73,Title Issued,0,0,53.37,2,21.254548,74.110315,Approved
FRA0184,Odisha,Mayurbhanj,Village_99,IFR,3.14,2.78,39,Title Issued,1,0,12.47,0,22.04704,86.578043,Approved
FRA0185,Maharashtra,Nandurbar,Village_31,IFR,7.37,7.51,140,DLC,0,1,30.14,1,21.283728,74.1914,Rejected
FRA0186,Chhattisgarh,Bastar,Village_4,CFR,1.84,1.9,61,DLC,1,1,50.14,2,19.159614,81.886502,Pending
FRA0187,Madhya Pradesh,Mandla,Village_78,IFR,3.63,3.2,140,SDLC,1,0,46.49,0,22.502776,80.483304,Approved
FRA0188,Madhya Pradesh,Mandla,Village_78,CFR,4.79,4.49,123,Title Issued,1,1,66.02,2,22.731619,80.318225,Approved
FRA0189,Odisha,Koraput,Village_48,IFR,4.55,4.53,47,SDLC,0,1,66.43,0,18.796587,82.646172,Pending
FRA0190,Jharkhand,Simdega,Village_23,CFR,5.86,5.01,52,SDLC,1,1,48.34,3,22.555541,84.63537,Rejected
FRA0191,Odisha,Mayurbhanj,Village_45,IFR,4.7,4.79,111,Gram Sabha,0,0,17.27,2,22.049398,86.814524,Rejected
FRA0192,Odisha,Mayurbhanj,Village_74,IFR,1.32,1.3,147,SDLC,1,1,57.62,3,22.041292,86.683784,Pending
FRA0193,Chhattisgarh,Bastar,Village_69,CR,1.6,1.66,180,Title Issued,0,1,27.45,1,19.211795,81.865643,Approved
FRA0194,Jharkhand,Gumla,Village_6,IFR,7.27,6.75,66,DLC,1,0,72.79,0,23.024592,84.399921,Pending
FRA0195,Madhya Pradesh,Mandla,Village_20,CFR,3.23,3.22,85,Title Issued,1,0,66.1,2,22.453082,80.359469,Rejected
FRA0196,Jharkhand,Simdega,Village_64,CR,1.54,1.35,66,SDLC,1,0,14.38,2,22.547708,84.669474,Approved
FRA0197,Chhattisgarh,Bastar,Village_43,CR,2.25,2.34,122,DLC,1,0,82.9,1,18.954735,81.963185,Pending
FRA0198,Jharkhand,Simdega,Village_70,CFR,9.39,9.78,155,DLC,0,0,41.43,3,22.535636,84.660841,Pending
FRA0199,Madhya Pradesh,Mandla,Village_4,IFR,6.92,7.0,60,SDLC,1,0,77.21,0,22.509544,80.414763,Rejected
FRA0200,Madhya Pradesh,Dindori,Village_24,CR,6.24,5.82,65,SDLC,1,0,24.66,2,22.816058,81.212575,Approved
FRA0201,Odisha,Mayurbhanj,Village_83,IFR,1.01,0.97,26,Title Issued,0,0,19.73,0,21.822354,86.769881,Rejected
FRA0202,Madhya Pradesh,Balaghat,Village_94,IFR,8.21,8.26,32,SDLC,0,0,71.06,2,21.946713,80.206878,Pending
FRA0203,Odisha,Keonjhar,Village_77,CR,3.64,3.68,30,Title Issued,1,1,59.1,3,21.700185,85.472889,Approved
