claim_id,state,district,village,claim_type,claimed_area,recorded_area,processing_days,current_stage,documents_complete,land_record_available,overlap_percentage,previous_rejections,latitude,longitude,status,area_mismatch_percentage
FRA0035,Odisha,Keonjhar,Village_71,CR,9.73,9.57,41.0,Title Issued,0.0,0.0,74.93,3.0,21.699419,85.602402,Pending,1.64
FRA0036,Madhya Pradesh,Dindori,Village_51,IFR,8.79,7.6,104.0,DLC,1.0,0.0,30.81,0.0,23.05238,81.035468,Pending,13.54
FRA0037,Chhattisgarh,Bastar,Village_79,IFR,1.77,1.81,94.0,SDLC,1.0,0.0,32.38,0.0,19.068978,81.832429,Approved,2.26
FRA0038,Maharashtra,Nandurbar,Village_12,CR,8.18,6.96,38.0,DLC,0.0,1.0,18.95,3.0,21.334742,74.380344,Rejected,14.91
FRA0039,Maharashtra,Nandurbar,Village_67,IFR,2.29,2.24,120.0,Title Issued,0.0,0.0,74.02,1.0,21.300201,74.117878,Pending,2.18
FRA0040,Jharkhand,Ranchi,Village_18,CR,2.24,2.09,137.0,Title Issued,0.0,0.0,39.2,3.0,23.409988,85.386357,Pending,6.7
FRA0041,Madhya Pradesh,Balaghat,Village_88,CR,4.39,4.01,175.0,SDLC,0.0,1.0,48.85,0.0,21.741962,80.321943,Approved,8.66
FRA0042,Maharashtra,Nashik,Village_70,CR,4.76,4.74,31.0,SDLC,1.0,1.0,75.92,1.0,20.142807,73.875752,Approved,0.42
FRA0043,Madhya Pradesh,Balaghat,Village_70,CR,6.02,5.48,88.0,DLC,1.0,0.0,83.64,0.0,21.817203,80.130007,Pending,8.97
FRA0044,Odisha,Mayurbhanj,Village_36,IFR,3.19,2.74,149.0,Title Issued,1.0,0.0,61.98,1.0,21.809729,86.804901,Rejected,14.11
FRA0045,Maharashtra,Nashik,Village_56,CR,7.66,7.57,170.0,SDLC,0.0,1.0,44.18,0.0,20.144841,73.787286,Pending,1.17
FRA0046,Odisha,Mayurbhanj,Village_13,CR,7.09,6.58,54.0,Gram Sabha,0.0,1.0,2.97,1.0,21.936965,86.780928,Rejected,7.19
FRA0047,Madhya Pradesh,Balaghat,Village_88,CR,4.28,4.1,250.0,Gram Sabha,1.0,1.0,18.92,0.0,21.875645,80.031025,Approved,4.21
FRA0048,Chhattisgarh,Surguja,Village_43,CFR,9.58,9.48,139.0,SDLC,0.0,0.0,30.74,1.0,22.972849,83.295727,Pending,1.04
FRA0049,Jharkhand,Ranchi,Village_20,IFR,4.5,4.32,93.0,SDLC,1.0,0.0,50.78,1.0,23.192903,85.351625,Pending,4.0
FRA0050,Madhya Pradesh,Dindori,Village_66,CR,3.65,3.2,129.0,SDLC,0.0,0.0,31.0,1.0,22.953097,80.964801,Rejected,12.33
FRA0051,Maharashtra,Nandurbar,Village_38,CR,9.97,9.88,34.0,Title Issued,0.0,0.0,31.72,1.0,21.329704,74.335934,Approved,0.9
FRA0052,Maharashtra,Nandurbar,Village_98,IFR,7.52,7.64,53.0,Gram Sabha,0.0,1.0,12.99,2.0,21.430108,74.335441,Approved,1.6
FRA0053,Chhattisgarh,Kanker,Village_64,CR,6.14,5.3,59.0,DLC,1.0,1.0,36.18,1.0,20.213577,81.438606,Rejected,13.68
FRA0054,Odisha,Keonjhar,Village_72,CR,5.73,5.98,31.0,Title Issued,1.0,0.0,34.19,2.0,21.490289,85.723276,Pending,4.36
FRA0055,Madhya Pradesh,Dindori,Village_1,IFR,9.08,7.98,96.0,Title Issued,1.0,1.0,65.44,2.0,22.927243,81.150771,Pending,12.11
FRA0056,Chhattisgarh,Surguja,Village_49,IFR,4.35,3.82,90.0,Title Issued,1.0,0.0,26.39,1.0,22.954358,83.217099,Rejected,12.18
FRA0057,Jharkhand,Simdega,Village_35,CFR,1.65,1.63,56.0,SDLC,1.0,0.0,5.52,1.0,22.552872,84.501867,Approved,1.21
FRA0058,Chhattisgarh,Surguja,Village_22,IFR,7.47,6.75,33.0,DLC,1.0,0.0,27.42,1.0,22.772801,83.170274,Approved,9.64
FRA0059,Madhya Pradesh,Dindori,Village_43,CFR,5.33,4.84,65.0,Gram Sabha,1.0,1.0,68.96,1.0,22.951283,81.02297,Rejected,9.19
FRA0060,Odisha,Mayurbhanj,Village_43,CFR,9.51,9.02,139.0,Title Issued,1.0,1.0,5.22,0.0,21.878517,86.796293,Approved,5.15
FRA0061,Madhya Pradesh,Mandla,Village_38,IFR,6.44,5.68,129.0,SDLC,1.0,1.0,40.02,3.0,22.630255,80.42571,Approved,11.8
FRA0062,Madhya Pradesh,Balaghat,Village_21,CR,5.86,5.01,75.0,SDLC,1.0,0.0,84.95,2.0,21.859926,80.04542,Pending,14.51
FRA0063,Jharkhand,Simdega,Village_22,CR,5.57,5.43,60.0,DLC,0.0,1.0,39.27,1.0,22.639253,84.404945,Approved,2.51
FRA0064,Maharashtra,Nashik,Village_31,CR,7.46,6.83,76.0,Gram Sabha,1.0,1.0,80.8,2.0,20.057011,73.756632,Pending,8.45
FRA0065,Maharashtra,Gadchiroli,Village_14,CR,5.28,5.45,161.0,Gram Sabha,0.0,1.0,17.04,0.0,20.290196,79.963152,Rejected,3.22
FRA0066,Madhya Pradesh,Mandla,Village_23,CFR,3.03,3.05,28.0,Title Issued,0.0,1.0,60.27,1.0,22.66853,80.361806,Pending,0.66
FRA0067,Madhya Pradesh,Balaghat,Village_35,CFR,7.86,7.31,73.0,DLC,0.0,1.0,10.69,2.0,21.720896,80.128057,Approved,7.0
FRA0068,Jharkhand,Gumla,Village_49,IFR,8.03,7.04,107.0,Gram Sabha,0.0,0.0,29.36,1.0,22.900588,84.615041,Pending,12.33
FRA0069,Odisha,Keonjhar,Village_3,IFR,5.32,5.58,56.0,Gram Sabha,0.0,0.0,35.09,3.0,21.67076,85.673985,Approved,4.89
FRA0070,Chhattisgarh,Surguja,Village_32,IFR,8.29,8.08,139.0,DLC,0.0,0.0,38.15,1.0,22.812037,83.165256,Rejected,2.53
FRA0071,Odisha,Keonjhar,Village_69,CR,3.03,2.68,135.0,SDLC,0.0,1.0,83.96,2.0,21.767446,85.496336,Pending,11.55
FRA0072,Madhya Pradesh,Dindori,Village_79,CR,2.96,2.86,85.0,Gram Sabha,1.0,1.0,29.14,1.0,22.828266,81.096268,Approved,3.38
FRA0073,Jharkhand,Simdega,Village_68,IFR,2.62,2.5,84.0,SDLC,1.0,0.0,1.16,3.0,22.664207,84.55158,Approved,4.58
FRA0074,Odisha,Mayurbhanj,Village_70,CR,8.5,8.52,100.0,SDLC,1.0,0.0,68.44,2.0,22.076817,86.601819,Rejected,0.24
FRA0075,Jharkhand,Simdega,Village_24,CFR,5.07,4.4,95.0,Title Issued,0.0,0.0,59.1,0.0,22.616832,84.625708,Approved,13.21
FRA0076,Odisha,Koraput,Village_21,CR,3.29,2.92,160.0,SDLC,0.0,1.0,6.69,1.0,18.755394,82.62495,Approved,11.25
FRA0077,Chhattisgarh,Surguja,Village_91,CR,2.19,1.86,142.0,Title Issued,1.0,1.0,62.15,2.0,22.821679,83.301094,Pending,15.07
FRA0078,Odisha,Koraput,Village_46,CR,8.58,8.48,122.0,Title Issued,1.0,0.0,10.96,0.0,18.791293,82.660563,Rejected,1.17
FRA0079,Jharkhand,Gumla,Village_90,CFR,2.14,2.01,40.0,DLC,1.0,1.0,62.51,2.0,22.90074,84.61766,Pending,6.07
FRA0080,Madhya Pradesh,Balaghat,Village_56,CR,7.34,6.64,87.0,Gram Sabha,0.0,0.0,52.29,1.0,21.880793,80.242154,Pending,9.54
FRA0081,Odisha,Koraput,Village_42,IFR,1.92,1.81,107.0,Gram Sabha,0.0,0.0,79.28,1.0,18.665951,82.784849,Approved,5.73
FRA0082,Odisha,Keonjhar,Village_88,IFR,8.47,7.74,61.0,Title Issued,0.0,1.0,72.6,0.0,21.566142,85.689772,Approved,8.62
FRA0083,Madhya Pradesh,Dindori,Village_76,CFR,5.94,5.21,60.0,Gram Sabha,0.0,1.0,33.26,1.0,22.805473,81.220364,Rejected,12.29
FRA0084,Maharashtra,Nandurbar,Village_37,CFR,3.39,2.94,96.0,DLC,0.0,0.0,74.1,0.0,21.253324,74.256048,Pending,13.27
FRA0085,Madhya Pradesh,Balaghat,Village_4,CR,2.75,2.63,22.0,Gram Sabha,0.0,1.0,40.09,0.0,21.843598,80.153259,Pending,4.36
FRA0086,Maharashtra,Nashik,Village_10,CR,1.73,1.76,36.0,DLC,0.0,0.0,50.88,1.0,20.087407,73.695109,Approved,1.73
FRA0087,Madhya Pradesh,Balaghat,Village_86,CFR,1.69,1.58,152.0,DLC,0.0,1.0,27.17,1.0,21.75515,80.280706,Approved,6.51
FRA0088,Chhattisgarh,Surguja,Village_61,CR,6.76,5.89,44.0,Gram Sabha,0.0,1.0,40.15,1.0,22.855775,83.293018,Pending,12.87
FRA0089,Maharashtra,Nashik,Village_50,IFR,6.64,6.72,59.0,Title Issued,1.0,0.0,62.09,2.0,19.861051,73.844702,Rejected,1.2
FRA0090,Madhya Pradesh,Balaghat,Village_52,CR,5.74,5.57,160.0,SDLC,1.0,0.0,9.27,0.0,21.711272,80.055918,Rejected,2.96
FRA0091,Odisha,Keonjhar,Village_2,CFR,2.33,2.01,106.0,Title Issued,1.0,0.0,24.56,0.0,21.714752,85.440293,Approved,13.73
FRA0092,Chhattisgarh,Bastar,Village_88,CFR,5.32,5.33,90.0,DLC,0.0,1.0,83.18,3.0,19.117264,81.926669,Approved,0.19
FRA0093,Madhya Pradesh,Mandla,Village_85,CR,7.05,6.48,144.0,SDLC,0.0,0.0,14.97,3.0,22.726245,80.328595,Pending,8.09
FRA0094,Jharkhand,Ranchi,Village_22,IFR,2.58,2.24,96.0,DLC,0.0,0.0,79.81,2.0,23.481296,85.373391,Pending,13.18
FRA0095,Chhattisgarh,Surguja,Village_60,IFR,8.8,8.16,156.0,Gram Sabha,0.0,0.0,38.82,2.0,22.838431,83.163528,Approved,7.27
FRA0096,Madhya Pradesh,Mandla,Village_82,CFR,9.9,9.38,169.0,SDLC,0.0,1.0,17.13,3.0,22.710673,80.320372,Pending,5.25
FRA0097,Chhattisgarh,Kanker,Village_48,CR,6.71,5.84,107.0,DLC,1.0,1.0,60.5,1.0,20.327643,81.416314,Pending,12.97
FRA0098,Odisha,Keonjhar,Village_97,CR,7.13,6.29,44.0,DLC,0.0,0.0,20.45,2.0,21.699195,85.706593,Pending,11.78
FRA0099,Maharashtra,Nashik,Village_89,CR,8.39,8.02,101.0,DLC,1.0,0.0,74.63,0.0,20.111773,73.879655,Pending,4.41
FRA0100,Maharashtra,Nashik,Village_4,CR,5.15,4.45,84.0,SDLC,1.0,1.0,55.47,1.0,19.986632,73.828868,Rejected,13.59
FRA0101,Jharkhand,Gumla,Village_90,CFR,6.04,5.85,109.0,Gram Sabha,0.0,0.0,8.06,2.0,22.963439,84.637679,Approved,3.15
FRA0102,Madhya Pradesh,Balaghat,Village_20,CFR,1.21,1.13,111.0,DLC,1.0,0.0,84.33,2.0,21.911574,80.302843,Pending,6.61
FRA0103,Odisha,Keonjhar,Village_88,CFR,3.99,4.08,70.0,Title Issued,0.0,1.0,6.57,2.0,21.769469,85.483164,Pending,2.26
FRA0104,Odisha,Keonjhar,Village_43,CFR,4.58,4.25,71.0,Title Issued,0.0,1.0,61.6,2.0,21.673744,85.489342,Pending,7.21
FRA0105,Chhattisgarh,Surguja,Village_16,CR,2.36,2.17,32.0,SDLC,1.0,0.0,67.23,0.0,22.757599,83.29077,Approved,8.05
FRA0106,Jharkhand,Ranchi,Village_46,IFR,3.89,4.05,124.0,DLC,0.0,1.0,12.93,1.0,23.326268,85.182466,Pending,4.11
FRA0107,Jharkhand,Gumla,Village_43,CR,7.93,7.83,95.0,SDLC,1.0,1.0,30.21,3.0,23.173388,84.636882,Pending,1.26
FRA0108,Madhya Pradesh,Dindori,Village_37,IFR,8.05,8.19,145.0,SDLC,1.0,0.0,34.07,2.0,22.80729,80.982358,Rejected,1.74
FRA0109,Odisha,Koraput,Village_66,IFR,7.22,7.26,107.0,DLC,1.0,1.0,46.37,2.0,18.71123,82.802646,Approved,0.55
FRA0110,Chhattisgarh,Surguja,Village_39,CFR,4.63,4.4,97.0,DLC,0.0,0.0,15.48,2.0,22.96736,83.235484,Pending,4.97
FRA0111,Jharkhand,Gumla,Village_45,IFR,9.22,8.2,124.0,SDLC,0.0,0.0,82.02,1.0,23.162286,84.483547,Approved,11.06
FRA0112,Madhya Pradesh,Mandla,Village_8,CR,4.46,3.9,49.0,Title Issued,1.0,0.0,82.94,1.0,22.714034,80.486755,Approved,12.56
FRA0113,Odisha,Mayurbhanj,Village_34,CR,2.13,1.87,40.0,Title Issued,0.0,1.0,82.65,2.0,21.877404,86.866969,Pending,12.21
FRA0114,Odisha,Mayurbhanj,Village_58,IFR,7.94,6.76,150.0,Gram Sabha,1.0,0.0,88.08,2.0,21.794857,86.688234,Rejected,14.86
FRA0115,Chhattisgarh,Bastar,Village_7,CFR,8.99,8.1,168.0,SDLC,1.0,0.0,44.13,0.0,19.146494,82.081279,Rejected,9.9
FRA0116,Jharkhand,Simdega,Village_4,CR,4.45,4.01,22.0,Gram Sabha,0.0,1.0,62.47,1.0,22.652759,84.443165,Rejected,9.89
FRA0117,Maharashtra,Gadchiroli,Village_41,CFR,9.5,9.37,54.0,Title Issued,1.0,1.0,34.23,3.0,20.133361,80.04525,Approved,1.37
FRA0118,Chhattisgarh,Surguja,Village_69,IFR,5.43,4.92,154.0,Gram Sabha,1.0,0.0,39.2,1.0,22.891882,83.211111,Pending,9.39
FRA0119,Maharashtra,Nandurbar,Village_14,IFR,2.75,2.75,157.0,SDLC,0.0,0.0,87.65,0.0,21.471335,74.271939,Pending,0.0
FRA0120,Odisha,Keonjhar,Village_92,CR,8.93,9.19,41.0,Gram Sabha,1.0,0.0,63.05,3.0,21.503128,85.488968,Approved,2.91
FRA0121,Madhya Pradesh,Balaghat,Village_45,CR,5.24,4.46,82.0,DLC,0.0,1.0,20.51,2.0,21.693692,80.092187,Pending,14.89
FRA0122,Jharkhand,Simdega,Village_33,CFR,5.7,5.01,155.0,Gram Sabha,0.0,0.0,83.12,3.0,22.491123,84.601475,Rejected,12.11
FRA0123,Odisha,Keonjhar,Village_92,CFR,4.88,4.24,52.0,Title Issued,1.0,0.0,23.46,3.0,21.567495,85.72663,Rejected,13.11
FRA0124,Madhya Pradesh,Balaghat,Village_21,IFR,3.21,2.98,171.0,Gram Sabha,0.0,1.0,20.31,0.0,21.762564,80.164914,Rejected,7.17
FRA0125,Chhattisgarh,Surguja,Village_91,IFR,7.82,6.91,64.0,DLC,1.0,0.0,79.53,1.0,22.898822,83.057992,Approved,11.64
FRA0126,Jharkhand,Simdega,Village_32,CFR,9.31,8.94,132.0,DLC,0.0,0.0,81.62,3.0,22.607757,84.409881,Rejected,3.97
FRA0127,Madhya Pradesh,Mandla,Village_42,CFR,7.08,6.74,37.0,Title Issued,0.0,1.0,4.58,3.0,22.725234,80.264005,Pending,4.8
FRA0128,Odisha,Keonjhar,Village_57,CFR,8.18,7.61,31.0,DLC,1.0,1.0,55.28,2.0,21.574114,85.663122,Approved,6.97
FRA0129,Maharashtra,Nashik,Village_91,CFR,2.79,2.39,67.0,SDLC,1.0,0.0,43.5,3.0,20.144619,73.674647,Pending,14.34
FRA0130,Chhattisgarh,Bastar,Village_43,CR,7.63,7.48,51.0,Title Issued,0.0,0.0,56.88,1.0,18.998689,82.021759,Approved,1.97
FRA0131,Madhya Pradesh,Dindori,Village_10,CR,6.31,5.64,82.0,DLC,1.0,1.0,7.09,3.0,23.015578,80.999107,Pending,10.62
FRA0132,Chhattisgarh,Surguja,Village_48,IFR,5.66,5.91,144.0,Title Issued,1.0,1.0,17.51,0.0,22.852914,83.178829,Pending,4.42
FRA0133,Chhattisgarh,Surguja,Village_45,CFR,5.07,5.12,108.0,Title Issued,0.0,1.0,89.89,1.0,22.887229,83.074002,Pending,0.99
FRA0134,Chhattisgarh,Bastar,Village_50,CFR,5.56,5.14,40.0,SDLC,0.0,1.0,1.42,0.0,19.248104,82.00711,Pending,7.55
FRA0135,Maharashtra,Nandurbar,Village_17,CFR,7.28,6.73,140.0,DLC,0.0,1.0,26.41,3.0,21.280736,74.265506,Pending,7.55
FRA0136,Odisha,Koraput,Village_3,IFR,4.15,3.91,104.0,DLC,1.0,0.0,57.97,3.0,18.733913,82.778172,Rejected,5.78
FRA0137,Odisha,Mayurbhanj,Village_10,IFR,3.7,3.46,108.0,Title Issued,1.0,1.0,30.68,2.0,21.893586,86.721907,Pending,6.49
FRA0138,Chhattisgarh,Surguja,Village_67,CR,2.17,2.12,164.0,Title Issued,1.0,1.0,7.75,3.0,23.036234,83.270814,Approved,2.3
FRA0139,Odisha,Keonjhar,Village_59,CR,9.46,9.24,67.0,Title Issued,0.0,1.0,38.24,2.0,21.550781,85.676554,Rejected,2.33
FRA0140,Odisha,Mayurbhanj,Village_25,IFR,2.09,1.83,70.0,SDLC,1.0,0.0,41.39,0.0,21.879854,86.770083,Rejected,12.44
FRA0141,Chhattisgarh,Surguja,Village_87,IFR,1.75,1.64,126.0,SDLC,0.0,1.0,57.23,3.0,22.997446,83.081737,Approved,6.29
FRA0142,Madhya Pradesh,Dindori,Village_34,IFR,6.44,5.87,174.0,Gram Sabha,1.0,0.0,43.6,2.0,22.971427,81.165596,Pending,8.85
FRA0143,Jharkhand,Gumla,Village_11,IFR,3.69,3.29,114.0,DLC,0.0,0.0,9.66,2.0,23.18105,84.606669,Rejected,10.84
FRA0144,Chhattisgarh,Bastar,Village_86,CFR,5.27,5.39,81.0,DLC,0.0,0.0,25.23,3.0,18.971083,82.089162,Approved,2.28
FRA0145,Jharkhand,Ranchi,Village_6,IFR,9.32,8.64,146.0,DLC,1.0,1.0,28.61,0.0,23.205226,85.359927,Approved,7.3
FRA0146,Odisha,Keonjhar,Village_73,CFR,7.52,6.92,87.0,Gram Sabha,0.0,0.0,27.53,3.0,21.770874,85.56189,Rejected,7.98
FRA0147,Maharashtra,Gadchiroli,Village_35,CR,10.0,4.0,36.0,Gram Sabha,1.0,1.0,69.85,2.0,20.150511,80.001551,Pending,60.0
FRA0148,Madhya Pradesh,Dindori,Village_99,IFR,7.09,7.33,143.0,Title Issued,0.0,0.0,33.19,0.0,22.860492,81.212489,Pending,3.39
FRA0149,Chhattisgarh,Kanker,Village_83,IFR,2.75,2.66,30.0,DLC,1.0,1.0,57.19,0.0,20.203431,81.464179,Rejected,3.27
FRA0150,Odisha,Koraput,Village_98,IFR,8.22,7.22,171.0,SDLC,0.0,0.0,73.73,1.0,18.873504,82.613379,Rejected,12.17
FRA0151,Jharkhand,Simdega,Village_8,IFR,3.32,3.12,67.0,DLC,0.0,1.0,81.05,1.0,22.492154,84.590752,Pending,6.02
FRA0152,Madhya Pradesh,Mandla,Village_59,CR,2.53,2.66,112.0,SDLC,1.0,0.0,36.28,2.0,22.521446,80.475293,Approved,5.14
FRA0153,Maharashtra,Gadchiroli,Village_87,CFR,8.21,8.6,170.0,DLC,0.0,0.0,79.8,2.0,20.194086,80.082316,Rejected,4.75
FRA0154,Madhya Pradesh,Mandla,Village_98,CFR,4.1,4.1,49.0,SDLC,1.0,1.0,82.34,3.0,22.493757,80.371718,Pending,0.0
FRA0155,Maharashtra,Nashik,Village_79,CR,2.28,2.34,124.0,SDLC,1.0,0.0,62.32,0.0,19.904263,73.665934,Approved,2.63
FRA0156,Madhya Pradesh,Dindori,Village_79,CFR,4.94,4.53,180.0,DLC,0.0,0.0,1.05,0.0,22.98562,80.956219,Pending,8.3
FRA0157,Maharashtra,Nashik,Village_12,IFR,8.79,8.31,91.0,SDLC,1.0,1.0,14.03,2.0,20.098822,73.68988,Rejected,5.46
FRA0158,Madhya Pradesh,Mandla,Village_17,CR,8.13,7.45,93.0,Title Issued,0.0,1.0,47.56,0.0,22.621167,80.377365,Approved,8.36
FRA0159,Maharashtra,Nashik,Village_77,CFR,7.07,6.1,31.0,Gram Sabha,1.0,1.0,20.93,0.0,20.090293,73.78906,Rejected,13.72
FRA0160,Odisha,Mayurbhanj,Village_61,CR,7.94,7.21,141.0,Title Issued,1.0,0.0,66.59,2.0,21.945799,86.708286,Pending,9.19
FRA0161,Madhya Pradesh,Balaghat,Village_34,IFR,1.36,1.39,148.0,Title Issued,1.0,0.0,37.68,1.0,21.779928,80.038695,Approved,2.21
FRA0162,Madhya Pradesh,Mandla,Village_80,IFR,1.99,1.92,58.0,Gram Sabha,0.0,1.0,43.32,2.0,22.66879,80.287168,Pending,3.52
FRA0163,Maharashtra,Nandurbar,Village_72,CFR,5.76,5.13,80.0,Gram Sabha,0.0,0.0,20.93,1.0,21.273879,74.297918,Pending,10.94
FRA0164,Chhattisgarh,Surguja,Village_94,CR,8.23,7.54,74.0,SDLC,0.0,0.0,79.81,3.0,22.848295,83.102784,Rejected,8.38
FRA0165,Maharashtra,Nandurbar,Village_51,CR,2.15,1.86,160.0,SDLC,0.0,0.0,35.93,1.0,21.416975,74.199175,Pending,13.49
FRA0166,Maharashtra,Nashik,Village_66,CR,8.98,9.34,154.0,Gram Sabha,1.0,1.0,44.34,3.0,19.935719,73.808395,Rejected,4.01
FRA0167,Maharashtra,Gadchiroli,Village_27,IFR,8.75,8.44,77.0,Gram Sabha,1.0,0.0,77.12,2.0,20.290263,79.877203,Pending,3.54
FRA0168,Maharashtra,Nashik,Village_69,CR,1.07,0.97,164.0,Title Issued,1.0,1.0,44.28,0.0,19.921143,73.719834,Approved,9.35
FRA0169,Maharashtra,Nandurbar,Village_44,CFR,1.98,1.78,125.0,DLC,0.0,0.0,72.31,0.0,21.224752,74.296478,Approved,10.1
FRA0170,Chhattisgarh,Bastar,Village_74,IFR,5.01,5.24,66.0,Title Issued,1.0,0.0,86.56,2.0,19.141684,81.818774,Rejected,4.59
FRA0171,Jharkhand,Simdega,Village_23,IFR,3.62,3.71,58.0,Title Issued,0.0,0.0,5.41,1.0,22.494563,84.623119,Rejected,2.49
FRA0172,Chhattisgarh,Surguja,Village_70,CR,9.39,9.44,92.0,Gram Sabha,0.0,1.0,77.19,1.0,22.866851,83.175392,Pending,0.53
