claim_id,state,district,risk_score,risk_level,priority,decision_brief
FRA0018,Madhya Pradesh,Mandla,15,LOW,Normal,"Claim FRA0018 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0019,Madhya Pradesh,Dindori,15,LOW,Normal,"Claim FRA0019 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0020,Jharkhand,Ranchi,0,LOW,Normal,"Claim FRA0020 from Ranchi, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0021,Maharashtra,Nashik,25,LOW,Normal,"Claim FRA0021 from Nashik, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0022,Jharkhand,Ranchi,25,LOW,Normal,"Claim FRA0022 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0023,Madhya Pradesh,Dindori,0,LOW,Normal,"Claim FRA0023 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0024,Jharkhand,Gumla,35,MEDIUM,Moderate,"Claim FRA0024 from Gumla, Jharkhand has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0025,Odisha,Mayurbhanj,15,LOW,Normal,"Claim FRA0025 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0026,Jharkhand,Ranchi,25,LOW,Normal,"Claim FRA0026 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0027,Chhattisgarh,Bastar,15,LOW,Normal,"Claim FRA0027 from Bastar, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0028,Chhattisgarh,Bastar,0,LOW,Normal,"Claim FRA0028 from Bastar, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0029,Jharkhand,Gumla,15,LOW,Normal,"Claim FRA0029 from Gumla, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0030,Chhattisgarh,Surguja,40,MEDIUM,Moderate,"Claim FRA0030 from Surguja, Chhattisgarh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0031,Chhattisgarh,Bastar,5,LOW,Normal,"Claim FRA0031 from Bastar, Chhattisgarh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0032,Jharkhand,Ranchi,20,LOW,Normal,"Claim FRA0032 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0033,Madhya Pradesh,Mandla,0,LOW,Normal,"Claim FRA0033 from Mandla, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0034,Chhattisgarh,Kanker,25,LOW,Normal,"Claim FRA0034 from Kanker, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0035,Odisha,Keonjhar,30,LOW,Normal,"Claim FRA0035 from Keonjhar, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0036,Madhya Pradesh,Dindori,0,LOW,Normal,"Claim FRA0036 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0037,Chhattisgarh,Bastar,0,LOW,Normal,"Claim FRA0037 from Bastar, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0038,Maharashtra,Nandurbar,15,LOW,Normal,"Claim FRA0038 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0039,Maharashtra,Nandurbar,25,LOW,Normal,"Claim FRA0039 from Nandurbar, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0040,Jharkhand,Ranchi,20,LOW,Normal,"Claim FRA0040 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0041,Madhya Pradesh,Balaghat,30,LOW,Normal,"Claim FRA0041 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0042,Maharashtra,Nashik,25,LOW,Normal,"Claim FRA0042 from Nashik, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0043,Madhya Pradesh,Balaghat,25,LOW,Normal,"Claim FRA0043 from Balaghat, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0044,Odisha,Mayurbhanj,30,LOW,Normal,"Claim FRA0044 from Mayurbhanj, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0045,Maharashtra,Nashik,30,LOW,Normal,"Claim FRA0045 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0046,Odisha,Mayurbhanj,0,LOW,Normal,"Claim FRA0046 from Mayurbhanj, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0047,Madhya Pradesh,Balaghat,25,LOW,Normal,"Claim FRA0047 from Balaghat, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: Severe processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0048,Chhattisgarh,Surguja,15,LOW,Normal,"Claim FRA0048 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0049,Jharkhand,Ranchi,15,LOW,Normal,"Claim FRA0049 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0050,Madhya Pradesh,Dindori,15,LOW,Normal,"Claim FRA0050 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0051,Maharashtra,Nandurbar,0,LOW,Normal,"Claim FRA0051 from Nandurbar, Maharashtra has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0052,Maharashtra,Nandurbar,5,LOW,Normal,"Claim FRA0052 from Nandurbar, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0053,Chhattisgarh,Kanker,0,LOW,Normal,"Claim FRA0053 from Kanker, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0054,Odisha,Keonjhar,5,LOW,Normal,"Claim FRA0054 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0055,Madhya Pradesh,Dindori,20,LOW,Normal,"Claim FRA0055 from Dindori, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0056,Chhattisgarh,Surguja,0,LOW,Normal,"Claim FRA0056 from Surguja, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0057,Jharkhand,Simdega,0,LOW,Normal,"Claim FRA0057 from Simdega, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0058,Chhattisgarh,Surguja,0,LOW,Normal,"Claim FRA0058 from Surguja, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0059,Madhya Pradesh,Dindori,15,LOW,Normal,"Claim FRA0059 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0060,Odisha,Mayurbhanj,15,LOW,Normal,"Claim FRA0060 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0061,Madhya Pradesh,Mandla,35,MEDIUM,Moderate,"Claim FRA0061 from Mandla, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0062,Madhya Pradesh,Balaghat,30,LOW,Normal,"Claim FRA0062 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0063,Jharkhand,Simdega,0,LOW,Normal,"Claim FRA0063 from Simdega, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0064,Maharashtra,Nashik,30,LOW,Normal,"Claim FRA0064 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0065,Maharashtra,Gadchiroli,15,LOW,Normal,"Claim FRA0065 from Gadchiroli, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0066,Madhya Pradesh,Mandla,15,LOW,Normal,"Claim FRA0066 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0067,Madhya Pradesh,Balaghat,5,LOW,Normal,"Claim FRA0067 from Balaghat, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0068,Jharkhand,Gumla,0,LOW,Normal,"Claim FRA0068 from Gumla, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0069,Odisha,Keonjhar,5,LOW,Normal,"Claim FRA0069 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0070,Chhattisgarh,Surguja,15,LOW,Normal,"Claim FRA0070 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0071,Odisha,Keonjhar,45,MEDIUM,Moderate,"Claim FRA0071 from Keonjhar, Odisha has a risk score of 45/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0072,Madhya Pradesh,Dindori,0,LOW,Normal,"Claim FRA0072 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0073,Jharkhand,Simdega,5,LOW,Normal,"Claim FRA0073 from Simdega, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0074,Odisha,Mayurbhanj,20,LOW,Normal,"Claim FRA0074 from Mayurbhanj, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0075,Jharkhand,Simdega,15,LOW,Normal,"Claim FRA0075 from Simdega, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0076,Odisha,Koraput,15,LOW,Normal,"Claim FRA0076 from Koraput, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0077,Chhattisgarh,Surguja,50,MEDIUM,Moderate,"Claim FRA0077 from Surguja, Chhattisgarh has a risk score of 50/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Area mismatch | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0078,Odisha,Koraput,15,LOW,Normal,"Claim FRA0078 from Koraput, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0079,Jharkhand,Gumla,20,LOW,Normal,"Claim FRA0079 from Gumla, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0080,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0080 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0081,Odisha,Koraput,25,LOW,Normal,"Claim FRA0081 from Koraput, Odisha has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0082,Odisha,Keonjhar,25,LOW,Normal,"Claim FRA0082 from Keonjhar, Odisha has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0083,Madhya Pradesh,Dindori,0,LOW,Normal,"Claim FRA0083 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0084,Maharashtra,Nandurbar,25,LOW,Normal,"Claim FRA0084 from Nandurbar, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0085,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0085 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0086,Maharashtra,Nashik,15,LOW,Normal,"Claim FRA0086 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0087,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0087 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0088,Chhattisgarh,Surguja,15,LOW,Normal,"Claim FRA0088 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0089,Maharashtra,Nashik,20,LOW,Normal,"Claim FRA0089 from Nashik, Maharashtra has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0090,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0090 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0091,Odisha,Keonjhar,0,LOW,Normal,"Claim FRA0091 from Keonjhar, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0092,Chhattisgarh,Bastar,30,LOW,Normal,"Claim FRA0092 from Bastar, Chhattisgarh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0093,Madhya Pradesh,Mandla,20,LOW,Normal,"Claim FRA0093 from Mandla, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0094,Jharkhand,Ranchi,30,LOW,Normal,"Claim FRA0094 from Ranchi, Jharkhand has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0095,Chhattisgarh,Surguja,20,LOW,Normal,"Claim FRA0095 from Surguja, Chhattisgarh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0096,Madhya Pradesh,Mandla,20,LOW,Normal,"Claim FRA0096 from Mandla, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0097,Chhattisgarh,Kanker,15,LOW,Normal,"Claim FRA0097 from Kanker, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0098,Odisha,Keonjhar,5,LOW,Normal,"Claim FRA0098 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0099,Maharashtra,Nashik,25,LOW,Normal,"Claim FRA0099 from Nashik, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0100,Maharashtra,Nashik,15,LOW,Normal,"Claim FRA0100 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0101,Jharkhand,Gumla,5,LOW,Normal,"Claim FRA0101 from Gumla, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0102,Madhya Pradesh,Balaghat,30,LOW,Normal,"Claim FRA0102 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0103,Odisha,Keonjhar,5,LOW,Normal,"Claim FRA0103 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0104,Odisha,Keonjhar,20,LOW,Normal,"Claim FRA0104 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0105,Chhattisgarh,Surguja,15,LOW,Normal,"Claim FRA0105 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0106,Jharkhand,Ranchi,15,LOW,Normal,"Claim FRA0106 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0107,Jharkhand,Gumla,5,LOW,Normal,"Claim FRA0107 from Gumla, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
