claim_id,state,district,risk_score,risk_level,reasons,recommended_action
FRA0044,Odisha,Mayurbhanj,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0045,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0046,Odisha,Mayurbhanj,0,LOW,,No immediate action required
FRA0047,Madhya Pradesh,Balaghat,25,LOW,Severe processing delay,No immediate action required
FRA0048,Chhattisgarh,Surguja,15,LOW,Long processing delay,No immediate action required
FRA0049,Jharkhand,Ranchi,15,LOW,Moderate claim overlap,No immediate action required
FRA0050,Madhya Pradesh,Dindori,15,LOW,Long processing delay,No immediate action required
FRA0051,Maharashtra,Nandurbar,0,LOW,,No immediate action required
FRA0052,Maharashtra,Nandurbar,5,LOW,Multiple previous rejections,No immediate action required
FRA0053,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0054,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0055,Madhya Pradesh,Dindori,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0056,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0057,Jharkhand,Simdega,0,LOW,,No immediate action required
FRA0058,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0059,Madhya Pradesh,Dindori,15,LOW,Moderate claim overlap,No immediate action required
FRA0060,Odisha,Mayurbhanj,15,LOW,Long processing delay,No immediate action required
FRA0061,Madhya Pradesh,Mandla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0062,Madhya Pradesh,Balaghat,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0063,Jharkhand,Simdega,0,LOW,,No immediate action required
FRA0064,Maharashtra,Nashik,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0065,Maharashtra,Gadchiroli,15,LOW,Long processing delay,No immediate action required
FRA0066,Madhya Pradesh,Mandla,15,LOW,Moderate claim overlap,No immediate action required
FRA0067,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0068,Jharkhand,Gumla,0,LOW,,No immediate action required
FRA0069,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0070,Chhattisgarh,Surguja,15,LOW,Long processing delay,No immediate action required
FRA0071,Odisha,Keonjhar,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0072,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0073,Jharkhand,Simdega,5,LOW,Multiple previous rejections,No immediate action required
FRA0074,Odisha,Mayurbhanj,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0075,Jharkhand,Simdega,15,LOW,Moderate claim overlap,No immediate action required
FRA0076,Odisha,Koraput,15,LOW,Long processing delay,No immediate action required
FRA0077,Chhattisgarh,Surguja,50,MEDIUM,Long processing delay | Area mismatch | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0078,Odisha,Koraput,15,LOW,Long processing delay,No immediate action required
FRA0079,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0080,Madhya Pradesh,Balaghat,15,LOW,Moderate claim overlap,No immediate action required
FRA0081,Odisha,Koraput,25,LOW,High claim overlap,No immediate action required
FRA0082,Odisha,Keonjhar,25,LOW,High claim overlap,No immediate action required
FRA0083,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0084,Maharashtra,Nandurbar,25,LOW,High claim overlap,No immediate action required
FRA0085,Madhya Pradesh,Balaghat,15,LOW,Moderate claim overlap,No immediate action required
FRA0086,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0087,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0088,Chhattisgarh,Surguja,15,LOW,Moderate claim overlap,No immediate action required
FRA0089,Maharashtra,Nashik,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0090,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0091,Odisha,Keonjhar,0,LOW,,No immediate action required
FRA0092,Chhattisgarh,Bastar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0093,Madhya Pradesh,Mandla,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0094,Jharkhand,Ranchi,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0095,Chhattisgarh,Surguja,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0096,Madhya Pradesh,Mandla,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0097,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0098,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0099,Maharashtra,Nashik,25,LOW,High claim overlap,No immediate action required
FRA0100,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0101,Jharkhand,Gumla,5,LOW,Multiple previous rejections,No immediate action required
FRA0102,Madhya Pradesh,Balaghat,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0103,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0104,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0105,Chhattisgarh,Surguja,15,LOW,Moderate claim overlap,No immediate action required
FRA0106,Jharkhand,Ranchi,15,LOW,Long processing delay,No immediate action required
FRA0107,Jharkhand,Gumla,5,LOW,Multiple previous rejections,No immediate action required
FRA0108,Madhya Pradesh,Dindori,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0109,Odisha,Koraput,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0110,Chhattisgarh,Surguja,5,LOW,Multiple previous rejections,No immediate action required
FRA0111,Jharkhand,Gumla,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0112,Madhya Pradesh,Mandla,25,LOW,High claim overlap,No immediate action required
FRA0113,Odisha,Mayurbhanj,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0114,Odisha,Mayurbhanj,55,HIGH,Long processing delay | High claim overlap | Multiple previous rejections | ML anomaly detected,Review claim documents and processing history
FRA0115,Chhattisgarh,Bastar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0116,Jharkhand,Simdega,15,LOW,Moderate claim overlap,No immediate action required
FRA0117,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0118,Chhattisgarh,Surguja,15,LOW,Long processing delay,No immediate action required
FRA0119,Maharashtra,Nandurbar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0120,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0121,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0122,Jharkhand,Simdega,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0123,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0124,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0125,Chhattisgarh,Surguja,25,LOW,High claim overlap,No immediate action required
FRA0126,Jharkhand,Simdega,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0127,Madhya Pradesh,Mandla,5,LOW,Multiple previous rejections,No immediate action required
FRA0128,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0129,Maharashtra,Nashik,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0130,Chhattisgarh,Bastar,15,LOW,Moderate claim overlap,No immediate action required
FRA0131,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0132,Chhattisgarh,Surguja,15,LOW,Long processing delay,No immediate action required
FRA0133,Chhattisgarh,Surguja,25,LOW,High claim overlap,No immediate action required
FRA0134,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0135,Maharashtra,Nandurbar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0136,Odisha,Koraput,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0137,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0138,Chhattisgarh,Surguja,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0139,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0140,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0141,Chhattisgarh,Surguja,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0142,Madhya Pradesh,Dindori,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0143,Jharkhand,Gumla,5,LOW,Multiple previous rejections,No immediate action required
FRA0144,Chhattisgarh,Bastar,5,LOW,Multiple previous rejections,No immediate action required
FRA0145,Jharkhand,Ranchi,15,LOW,Long processing delay,No immediate action required
FRA0146,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0147,Maharashtra,Gadchiroli,55,HIGH,Large area mismatch | Moderate claim overlap | Multiple previous rejections | ML anomaly detected,Review claim documents and processing history
FRA0148,Madhya Pradesh,Dindori,15,LOW,Long processing delay,No immediate action required
FRA0149,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0150,Odisha,Koraput,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0151,Jharkhand,Simdega,25,LOW,High claim overlap,No immediate action required
FRA0152,Madhya Pradesh,Mandla,5,LOW,Multiple previous rejections,No immediate action required
FRA0153,Maharashtra,Gadchiroli,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0154,Madhya Pradesh,Mandla,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0155,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0156,Madhya Pradesh,Dindori,25,LOW,Long processing delay | ML anomaly detected,No immediate action required
FRA0157,Maharashtra,Nashik,5,LOW,Multiple previous rejections,No immediate action required
FRA0158,Madhya Pradesh,Mandla,15,LOW,Moderate claim overlap,No immediate action required
FRA0159,Maharashtra,Nashik,10,LOW,ML anomaly detected,No immediate action required
FRA0160,Odisha,Mayurbhanj,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0161,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0162,Madhya Pradesh,Mandla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0163,Maharashtra,Nandurbar,0,LOW,,No immediate action required
FRA0164,Chhattisgarh,Surguja,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0165,Maharashtra,Nandurbar,15,LOW,Long processing delay,No immediate action required
FRA0166,Maharashtra,Nashik,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0167,Maharashtra,Gadchiroli,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0168,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0169,Maharashtra,Nandurbar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0170,Chhattisgarh,Bastar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0171,Jharkhand,Simdega,0,LOW,,No immediate action required
FRA0172,Chhattisgarh,Surguja,25,LOW,High claim overlap,No immediate action required
FRA0173,Maharashtra,Nandurbar,0,LOW,,No immediate action required
FRA0174,Madhya Pradesh,Dindori,30,LOW,Long processing delay | Multiple previous rejections | ML anomaly detected,No immediate action required
FRA0175,Madhya Pradesh,Dindori,15,LOW,Long processing delay,No immediate action required
FRA0176,Odisha,Keonjhar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0177,Maharashtra,Gadchiroli,25,LOW,High claim overlap,No immediate action required
FRA0178,Odisha,Koraput,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0179,Maharashtra,Nandurbar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0180,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0181,Madhya Pradesh,Mandla,15,LOW,Long processing delay,No immediate action required
FRA0182,Odisha,Koraput,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0183,Maharashtra,Nandurbar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0184,Odisha,Mayurbhanj,0,LOW,,No immediate action required
FRA0185,Maharashtra,Nandurbar,15,LOW,Long processing delay,No immediate action required
FRA0186,Chhattisgarh,Bastar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0187,Madhya Pradesh,Mandla,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0188,Madhya Pradesh,Mandla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0189,Odisha,Koraput,15,LOW,Moderate claim overlap,No immediate action required
FRA0190,Jharkhand,Simdega,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0191,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0192,Odisha,Mayurbhanj,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0193,Chhattisgarh,Bastar,15,LOW,Long processing delay,No immediate action required
FRA0194,Jharkhand,Gumla,25,LOW,High claim overlap,No immediate action required
FRA0195,Madhya Pradesh,Mandla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0196,Jharkhand,Simdega,5,LOW,Multiple previous rejections,No immediate action required
FRA0197,Chhattisgarh,Bastar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0198,Jharkhand,Simdega,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0199,Madhya Pradesh,Mandla,25,LOW,High claim overlap,No immediate action required
FRA0200,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0201,Odisha,Mayurbhanj,0,LOW,,No immediate action required
FRA0202,Madhya Pradesh,Balaghat,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0203,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0204,Chhattisgarh,Bastar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0205,Madhya Pradesh,Balaghat,15,LOW,Moderate claim overlap,No immediate action required
FRA0206,Jharkhand,Gumla,5,LOW,Multiple previous rejections,No immediate action required
FRA0207,Odisha,Keonjhar,0,LOW,,No immediate action required
FRA0208,Jharkhand,Ranchi,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0209,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0210,Madhya Pradesh,Balaghat,15,LOW,Moderate claim overlap,No immediate action required
FRA0211,Chhattisgarh,Surguja,15,LOW,Moderate claim overlap,No immediate action required
FRA0212,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0213,Odisha,Koraput,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0214,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0215,Chhattisgarh,Surguja,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0216,Jharkhand,Ranchi,25,LOW,High claim overlap,No immediate action required
FRA0217,Jharkhand,Ranchi,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0218,Maharashtra,Nandurbar,15,LOW,Long processing delay,No immediate action required
FRA0219,Jharkhand,Ranchi,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0220,Chhattisgarh,Kanker,15,LOW,Long processing delay,No immediate action required
FRA0221,Chhattisgarh,Bastar,25,LOW,High claim overlap,No immediate action required
FRA0222,Jharkhand,Ranchi,15,LOW,Moderate claim overlap,No immediate action required
FRA0223,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0224,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0225,Jharkhand,Ranchi,15,LOW,Moderate claim overlap,No immediate action required
FRA0226,Chhattisgarh,Bastar,25,LOW,High claim overlap,No immediate action required
FRA0227,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0228,Jharkhand,Ranchi,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0229,Jharkhand,Ranchi,5,LOW,Multiple previous rejections,No immediate action required
FRA0230,Maharashtra,Nashik,5,LOW,Multiple previous rejections,No immediate action required
FRA0231,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0232,Chhattisgarh,Bastar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0233,Madhya Pradesh,Dindori,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0234,Madhya Pradesh,Dindori,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0235,Chhattisgarh,Surguja,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0236,Jharkhand,Gumla,5,LOW,Multiple previous rejections,No immediate action required
FRA0237,Chhattisgarh,Surguja,5,LOW,Multiple previous rejections,No immediate action required
FRA0238,Chhattisgarh,Surguja,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0239,Jharkhand,Gumla,0,LOW,,No immediate action required
FRA0240,Madhya Pradesh,Balaghat,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0241,Maharashtra,Nandurbar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0242,Madhya Pradesh,Balaghat,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0243,Odisha,Keonjhar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0244,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0245,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0246,Jharkhand,Ranchi,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0247,Odisha,Mayurbhanj,35,MEDIUM,High claim overlap | ML anomaly detected,Perform additional document verification
FRA0248,Maharashtra,Gadchiroli,15,LOW,Moderate claim overlap,No immediate action required
FRA0249,Madhya Pradesh,Balaghat,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0250,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0251,Jharkhand,Gumla,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0252,Chhattisgarh,Kanker,35,MEDIUM,High claim overlap | ML anomaly detected,Perform additional document verification
FRA0253,Jharkhand,Ranchi,25,LOW,High claim overlap,No immediate action required
FRA0254,Odisha,Keonjhar,15,LOW,Moderate claim overlap,No immediate action required
FRA0255,Odisha,Keonjhar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0256,Maharashtra,Nashik,5,LOW,Multiple previous rejections,No immediate action required
FRA0257,Madhya Pradesh,Balaghat,40,MEDIUM,High claim overlap | Multiple previous rejections | ML anomaly detected,Perform additional document verification
FRA0258,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0259,Madhya Pradesh,Mandla,5,LOW,Multiple previous rejections,No immediate action required
FRA0260,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0261,Madhya Pradesh,Mandla,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0262,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0263,Maharashtra,Nandurbar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0264,Chhattisgarh,Kanker,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0265,Madhya Pradesh,Dindori,25,LOW,High claim overlap,No immediate action required
FRA0266,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0267,Odisha,Koraput,5,LOW,Multiple previous rejections,No immediate action required
FRA0268,Madhya Pradesh,Dindori,15,LOW,Moderate claim overlap,No immediate action required
FRA0269,Maharashtra,Nandurbar,0,LOW,,No immediate action required
FRA0270,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0271,Maharashtra,Nashik,0,LOW,,No immediate action required
FRA0272,Chhattisgarh,Bastar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0273,Odisha,Keonjhar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0274,Maharashtra,Gadchiroli,25,LOW,High claim overlap,No immediate action required
FRA0275,Jharkhand,Simdega,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0276,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0277,Chhattisgarh,Bastar,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0278,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0279,Jharkhand,Ranchi,15,LOW,Long processing delay,No immediate action required
FRA0280,Jharkhand,Gumla,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0281,Maharashtra,Nashik,0,LOW,,No immediate action required
FRA0282,Odisha,Koraput,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0283,Maharashtra,Nashik,15,LOW,Long processing delay,No immediate action required
FRA0284,Odisha,Keonjhar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0285,Madhya Pradesh,Mandla,0,LOW,,No immediate action required
FRA0286,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0287,Jharkhand,Ranchi,25,LOW,High claim overlap,No immediate action required
FRA0288,Madhya Pradesh,Mandla,0,LOW,,No immediate action required
FRA0289,Maharashtra,Nashik,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0290,Chhattisgarh,Surguja,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0291,Chhattisgarh,Bastar,25,LOW,High claim overlap,No immediate action required
FRA0292,Maharashtra,Nandurbar,0,LOW,,No immediate action required
FRA0293,Madhya Pradesh,Mandla,15,LOW,Moderate claim overlap,No immediate action required
FRA0294,Jharkhand,Ranchi,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0295,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0296,Odisha,Koraput,5,LOW,Multiple previous rejections,No immediate action required
FRA0297,Maharashtra,Nandurbar,25,LOW,High claim overlap,No immediate action required
FRA0298,Jharkhand,Ranchi,15,LOW,Long processing delay,No immediate action required
FRA0299,Madhya Pradesh,Mandla,15,LOW,Moderate claim overlap,No immediate action required
FRA0300,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0301,Odisha,Koraput,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0302,Odisha,Koraput,0,LOW,,No immediate action required
FRA0303,Chhattisgarh,Surguja,15,LOW,Long processing delay,No immediate action required
FRA0304,Jharkhand,Ranchi,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0305,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
