claim_id,state,district,latitude,longitude,ml_anomaly,risk_score,risk_level,reasons,recommended_action,priority,decision_brief
FRA0027,Chhattisgarh,Bastar,19.009296,81.925932,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0027 from Bastar, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0028,Chhattisgarh,Bastar,19.073652,82.00256,NO,0,LOW,,,Normal,"Claim FRA0028 from Bastar, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0029,Jharkhand,Gumla,22.919585,84.673443,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0029 from Gumla, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0030,Chhattisgarh,Surguja,22.859044,83.25488,NO,40,MEDIUM,Long processing delay | High claim overlap,,Moderate,"Claim FRA0030 from Surguja, Chhattisgarh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0031,Chhattisgarh,Bastar,19.200257,81.801453,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0031 from Bastar, Chhattisgarh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0032,Jharkhand,Ranchi,23.380266,85.184578,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0032 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0033,Madhya Pradesh,Mandla,22.734347,80.43462,NO,0,LOW,,,Normal,"Claim FRA0033 from Mandla, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0034,Chhattisgarh,Kanker,20.315695,81.537684,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0034 from Kanker, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0035,Odisha,Keonjhar,21.699419,85.602402,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0035 from Keonjhar, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0036,Madhya Pradesh,Dindori,23.05238,81.035468,NO,0,LOW,,,Normal,"Claim FRA0036 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0037,Chhattisgarh,Bastar,19.068978,81.832429,NO,0,LOW,,,Normal,"Claim FRA0037 from Bastar, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0038,Maharashtra,Nandurbar,21.334742,74.380344,YES,15,LOW,Multiple previous rejections | ML anomaly detected,,Normal,"Claim FRA0038 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0039,Maharashtra,Nandurbar,21.300201,74.117878,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0039 from Nandurbar, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0040,Jharkhand,Ranchi,23.409988,85.386357,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0040 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0041,Madhya Pradesh,Balaghat,21.741962,80.321943,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0041 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0042,Maharashtra,Nashik,20.142807,73.875752,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0042 from Nashik, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0043,Madhya Pradesh,Balaghat,21.817203,80.130007,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0043 from Balaghat, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0044,Odisha,Mayurbhanj,21.809729,86.804901,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0044 from Mayurbhanj, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0045,Maharashtra,Nashik,20.144841,73.787286,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0045 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0046,Odisha,Mayurbhanj,21.936965,86.780928,NO,0,LOW,,,Normal,"Claim FRA0046 from Mayurbhanj, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0047,Madhya Pradesh,Balaghat,21.875645,80.031025,NO,25,LOW,Severe processing delay,,Normal,"Claim FRA0047 from Balaghat, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: Severe processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0048,Chhattisgarh,Surguja,22.972849,83.295727,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0048 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0049,Jharkhand,Ranchi,23.192903,85.351625,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0049 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0050,Madhya Pradesh,Dindori,22.953097,80.964801,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0050 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0051,Maharashtra,Nandurbar,21.329704,74.335934,NO,0,LOW,,,Normal,"Claim FRA0051 from Nandurbar, Maharashtra has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0052,Maharashtra,Nandurbar,21.430108,74.335441,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0052 from Nandurbar, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0053,Chhattisgarh,Kanker,20.213577,81.438606,NO,0,LOW,,,Normal,"Claim FRA0053 from Kanker, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0054,Odisha,Keonjhar,21.490289,85.723276,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0054 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0055,Madhya Pradesh,Dindori,22.927243,81.150771,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0055 from Dindori, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0056,Chhattisgarh,Surguja,22.954358,83.217099,NO,0,LOW,,,Normal,"Claim FRA0056 from Surguja, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0057,Jharkhand,Simdega,22.552872,84.501867,NO,0,LOW,,,Normal,"Claim FRA0057 from Simdega, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0058,Chhattisgarh,Surguja,22.772801,83.170274,NO,0,LOW,,,Normal,"Claim FRA0058 from Surguja, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0059,Madhya Pradesh,Dindori,22.951283,81.02297,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0059 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0060,Odisha,Mayurbhanj,21.878517,86.796293,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0060 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0061,Madhya Pradesh,Mandla,22.630255,80.42571,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0061 from Mandla, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0062,Madhya Pradesh,Balaghat,21.859926,80.04542,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0062 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0063,Jharkhand,Simdega,22.639253,84.404945,NO,0,LOW,,,Normal,"Claim FRA0063 from Simdega, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0064,Maharashtra,Nashik,20.057011,73.756632,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0064 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0065,Maharashtra,Gadchiroli,20.290196,79.963152,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0065 from Gadchiroli, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0066,Madhya Pradesh,Mandla,22.66853,80.361806,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0066 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0067,Madhya Pradesh,Balaghat,21.720896,80.128057,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0067 from Balaghat, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0068,Jharkhand,Gumla,22.900588,84.615041,NO,0,LOW,,,Normal,"Claim FRA0068 from Gumla, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0069,Odisha,Keonjhar,21.67076,85.673985,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0069 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0070,Chhattisgarh,Surguja,22.812037,83.165256,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0070 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0071,Odisha,Keonjhar,21.767446,85.496336,NO,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0071 from Keonjhar, Odisha has a risk score of 45/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0072,Madhya Pradesh,Dindori,22.828266,81.096268,NO,0,LOW,,,Normal,"Claim FRA0072 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0073,Jharkhand,Simdega,22.664207,84.55158,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0073 from Simdega, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0074,Odisha,Mayurbhanj,22.076817,86.601819,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0074 from Mayurbhanj, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0075,Jharkhand,Simdega,22.616832,84.625708,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0075 from Simdega, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0076,Odisha,Koraput,18.755394,82.62495,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0076 from Koraput, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0077,Chhattisgarh,Surguja,22.821679,83.301094,NO,50,MEDIUM,Long processing delay | Area mismatch | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0077 from Surguja, Chhattisgarh has a risk score of 50/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Area mismatch | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0078,Odisha,Koraput,18.791293,82.660563,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0078 from Koraput, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0079,Jharkhand,Gumla,22.90074,84.61766,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0079 from Gumla, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0080,Madhya Pradesh,Balaghat,21.880793,80.242154,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0080 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0081,Odisha,Koraput,18.665951,82.784849,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0081 from Koraput, Odisha has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0082,Odisha,Keonjhar,21.566142,85.689772,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0082 from Keonjhar, Odisha has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0083,Madhya Pradesh,Dindori,22.805473,81.220364,NO,0,LOW,,,Normal,"Claim FRA0083 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0084,Maharashtra,Nandurbar,21.253324,74.256048,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0084 from Nandurbar, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0085,Madhya Pradesh,Balaghat,21.843598,80.153259,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0085 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0086,Maharashtra,Nashik,20.087407,73.695109,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0086 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0087,Madhya Pradesh,Balaghat,21.75515,80.280706,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0087 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0088,Chhattisgarh,Surguja,22.855775,83.293018,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0088 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0089,Maharashtra,Nashik,19.861051,73.844702,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0089 from Nashik, Maharashtra has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0090,Madhya Pradesh,Balaghat,21.711272,80.055918,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0090 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
